# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
3,42,0,109825183.8664192,379191164019566.5,99
3,43,0,88915715.82938503,374391777266593.4,86
3,44,0,85391365.94466877,428872236696955.9,94
3,45,0,134399554.1844669,745586044240822.6,103
3,46,0,101349336.9104056,277539104893290.3,100
3,47,0,135326973.3052942,601380827229655.4,103
3,48,0,88833675.70758159,310059513521451.4,96
3,49,0,104271489.4277326,593186942118140.2,96
3,50,0,100045482.988965,396808755454076.5,86
3,51,0,110346453.4856817,532490091903481.4,88
3,52,0,75854634.38738318,199710444780136.3,102
3,53,0,97271428.52707948,493666013076060.8,87
3,54,0,102243428.7391282,375618014392892.6,92
3,55,0,72567679.33869731,179633883206969.4,94
3,56,0,90097283.04378662,277997434222636,98
3,57,0,123615642.6568331,585915732220545.5,102
3,58,0,121107947.4722071,518996970756986.5,108
3,59,0,134838337.7541515,663348828574953.1,94
3,60,0,104227223.0894942,405646590818523.6,88
3,61,0,97238730.4448984,340343027446053.5,95
3,62,0,96539319.80713877,604223914316443.2,94
3,63,0,75777884.48840199,324746638465284.8,64
3,64,0,68195153.67757431,198798902119822.9,74
3,65,0,114410222.4766541,526637165592795.7,92
3,66,0,119870102.332172,428440005397636.9,98
3,67,0,124797873.4533122,429431284051116.4,90
3,68,0,101835395.7546268,253097928648890.5,109
3,69,0,86262409.44297363,339503985140036.6,98
3,70,0,124373626.2765557,680971433568871.1,99
3,71,0,132556323.0498372,573327493889914.9,96
3,72,0,112815174.5064056,430865865319001.2,85
3,73,0,66463640.69895676,171075498068471.8,67
3,74,0,71456063.48734677,336533556274845.1,59
4,0,0,90160869.0523394,730290388059864.8,51
4,1,0,95453842.32665384,359989907360918.3,86
4,2,0,135871343.2768404,752162717931485,91
4,3,0,72637691.48200396,199250271821417.5,89
4,4,0,84016428.3955113,279220703012167.1,86
4,5,0,90333801.79056025,329108800351272.9,90
4,6,0,126382293.9657865,492607961496835.7,111
4,7,0,138728457.4159957,697145686190788.2,94
4,8,0,126047911.7387915,508480737162682.9,91
4,9,0,125358713.8727153,603826207514650.2,88
4,10,0,75370011.96662109,182371473507029,98
4,11,0,103908353.1182912,290923430273584.9,107
4,12,0,82240139.9435038,293330630315016.2,90
4,13,0,84896609.50234741,399669836642316.8,79
4,14,0,71640521.10013963,242392701702720.5,65
4,15,0,94211524.31827705,483209593556317.3,75
4,16,0,63620517.41305126,208900651126244.2,72
4,17,0,96122730.31244826,368453584476966.5,87
4,18,0,114037399.3971038,987839448762137.6,84
4,19,0,88769514.89188597,299049006271549.6,77
4,20,0,89464600.44998603,320759661191289.3,72
4,21,0,94150395.75792511,480819476366171.4,77
4,22,0,91536335.77806368,541613399810687.2,68
4,23,0,87013044.12493064,307847580257798.4,90
4,24,0,87437038.16497079,261727578603429.3,85
4,25,0,69961826.22356831,377391199349281.1,85
4,26,0,90204689.78279631,328963463194059.5,87
4,27,0,96379234.1174635,392126676166567.8,89
4,28,0,107848663.07418,435203953253410.7,82
4,29,0,81225394.97866811,404241198672370.1,71
4,30,0,74472122.82662904,380392588172488.6,82
4,31,0,109396939.5623846,516475457130715.2,67
4,32,0,72628510.35912634,249671377798658.4,83
4,33,0,80277878.21199673,326288193319118.2,78
4,34,0,60041878.03205489,138931310549827.9,80
4,35,0,112487380.5924237,481365539152192.1,95
4,36,0,113410963.1043441,459726620017149.1,106
4,37,0,77959454.78059784,246732577148435.7,89
4,38,0,95625774.46478067,409561665200032.6,78
4,39,0,81094804.35378891,259705308576736.4,83
4,40,0,95610718.49880801,333379160083505.8,88
4,41,0,108646130.3843287,630149331169151.1,94
4,42,0,105941490.627193,481696186115622.8,90
4,43,0,93821794.78250557,366656334249202.6,95
4,44,0,113339799.5328104,632234167603923.2,86
4,45,0,128376514.0780463,642778415371623.6,99
4,46,0,101415737.3719906,417689305818265.1,102
4,47,0,114304415.5333853,374865454731809.2,114
4,48,0,117754034.0040728,578593001903468.8,100
4,49,0,135681491.2064811,744818585689493.9,99
4,50,0,92784298.60410158,368450735799316.9,95
4,51,0,92040743.92241557,304342278274875.2,92
4,52,0,93633269.9890472,314322029579117.5,106
4,53,0,101970091.8376678,354645167838743.4,99
4,54,0,125303445.6632661,522505424863533.9,107
4,55,0,94975782.26729374,407939195099353.7,104
4,56,0,113405065.5894524,524268791148317,105
4,57,0,145650493.4532436,635292627452069.2,120
4,58,0,146503950.0791753,656585431362369.9,106
4,59,0,92770949.73843792,487913502296793.4,88
4,60,0,105166249.5172538,413751121536515.2,92
4,61,0,137000101.2279948,703678637785584.5,102
4,62,0,67886850.24705745,222137373415340.2,79
4,63,0,98461062.87372035,330794966488845.2,92
4,64,0,55119072.91487218,178249140041573.2,81
4,65,0,61030364.53566228,210196857121363.3,69
4,66,0,82188844.06781431,314953383322467.6,91
4,67,0,115251565.8154643,595099964023290.1,100
4,68,0,92015251.72065499,458188778142743.6,93
4,69,0,96458625.89622997,285263130297520.8,94
4,70,0,109926030.1389273,500825099983199.6,90
4,71,0,134708167.5839573,511404054768218.6,102
4,72,0,75043075.11938249,202876806258159.2,76
4,73,0,103267673.1111207,509286003616395.9,72
4,74,0,54780831.85931551,138494321640557.1,51
5,0,0,81362250.62891085,398463363700519.3,47
5,1,0,76192241.9094076,238720021409546.1,80
5,2,0,146044399.9879701,556601804690936.2,98
5,3,0,108332590.4213259,642759997019446.4,81
5,4,0,72306454.68423438,222235006768012.5,83
5,5,0,131447987.6846672,747690117664570.9,91
5,6,0,113646627.6343892,419526940210128.4,92
5,7,0,115587099.5702012,494482732173926.8,92
5,8,0,79174631.50996478,192955801783185,87
5,9,0,88509317.84728615,384258494759890.4,95
5,10,0,118074811.9063586,551668687027630.9,90
5,11,0,131507993.4093356,645320522351359.6,90
5,12,0,94375749.28447312,394073251286376.6,81
5,13,0,97679266.16488291,449626105763348.4,78
5,14,0,96365899.4693547,425617105430427,76
5,15,0,89783340.17729081,355944162770806.1,89
5,16,0,87167401.78316338,421239047473537.9,72
5,17,0,102084426.9755445,390056410619542.6,81
5,18,0,125617292.4794585,769633353680111.5,77
5,19,0,88135593.39774731,384959971639011.4,85
5,20,0,99032562.67639063,667092442161115.9,74
5,21,0,77895435.64416012,271159101880000.8,76
