# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,73,0,73423560.3102916,266889204323741.4,33
0,74,0,90451818.648017,366222360164988.6,29
1,0,0,64802915.9739524,233582945863865.9,31
1,1,0,77973257.5795646,264732127903620,42
1,2,0,107288304.0199983,386060473543731.4,50
1,3,0,77862571.61014989,277918430332528.2,39
1,4,0,92994538.75736484,361957158117045.1,45
1,5,0,68867411.75175877,249242629805676,42
1,6,0,91911522.07288301,346309266030232.4,40
1,7,0,112647940.1607775,437897446261807.4,43
1,8,0,73676996.41812833,252551379778096.7,42
1,9,0,84414135.62433238,314061862678019.4,48
1,10,0,105802048.2785938,328072194491514.7,59
1,11,0,120896089.9486044,439450796609152.8,53
1,12,0,94924855.83343995,338531543169203.2,39
1,13,0,95117508.03812015,376870744763593.7,40
1,14,0,98698711.49440229,389701164853322.9,39
1,15,0,77599832.29446876,284293205379882.6,37
1,16,0,89373312.20116737,315858595418388.2,48
1,17,0,89412340.44264339,329845911748926.2,42
1,18,0,101659166.4158059,351027783635307,56
1,19,0,103417137.5739785,396345890933864.9,49
1,20,0,100696639.5335325,369018101363963,46
1,21,0,84834564.33862484,297549255265039.2,46
1,22,0,74796544.21754938,298221944485590.2,37
1,23,0,78816863.0664124,288376527557443.6,38
1,24,0,90305659.18133727,338206657963040.9,41
1,25,0,99590886.01758166,381267509688434.9,42
1,26,0,104150556.9704944,375759218490882.3,54
1,27,0,118690126.4371886,455230443289519.1,51
1,28,0,70982321.95591679,225970960612405.4,39
1,29,0,97432883.82425646,381036441530686.5,41
1,30,0,102622248.8413427,381854132616933.9,46
1,31,0,82731602.58414088,301512855676003.7,36
1,32,0,105313141.6312993,406715761429930.2,44
1,33,0,89836091.3399784,317675312578591.6,46
1,34,0,102943493.5972952,400717408694599.9,50
1,35,0,119673755.5822732,448153676181606.4,50
1,36,0,82655878.25698608,297734616102418.6,49
1,37,0,101613577.9058445,368206964385613.7,48
1,38,0,83990674.67457397,284006160162252.1,49
1,39,0,72446603.89014255,259927212286568.4,42
1,40,0,86190112.72752573,327398703636156.1,34
1,41,0,68535124.80567665,220197247759544.2,37
1,42,0,77113787.66677885,277764953311383.9,33
1,43,0,67776719.08388798,249885339776313.2,30
1,44,0,101845084.5414615,373973866561936.6,51
1,45,0,114851549.4957219,415263022164136.7,52
1,46,0,97998679.90982831,354327656962261.2,44
1,47,0,79808037.29769577,295618598375262.8,41
1,48,0,85075395.31087816,305766961195808.6,47
1,49,0,75896431.65466775,271775592987634.8,38
1,50,0,86686358.32741216,333025356903824.3,43
1,51,0,83412517.34445703,296008223240661.9,45
1,52,0,111376086.3759913,413260713380085.9,48
1,53,0,99204741.84038551,380664592453333.8,47
1,54,0,94775391.81085868,328320981344234.7,54
1,55,0,105381473.7642324,416442427767372,38
1,56,0,58122921.57098139,193839341694821.8,31
1,57,0,111503236.339456,435049606126405.1,45
